country,year,crime_index,weighted_infractions
Croatie,2020,0.05059935568029093,204810.0
Croatie,2021,0.052308325305022114,202903.0
Croatie,2022,0.05247480250365633,202324.0
Danemark,2008,0.4010538768509877,2203238.0
Danemark,2009,0.42143888526270146,2327647.0
Danemark,2010,0.3999698612916419,2218906.0
Danemark,2011,0.3971509568496736,2212358.0
Danemark,2012,0.372744194298133,2084226.0
Danemark,2013,0.36175878888649055,2031251.0
Danemark,2014,0.33535188868560595,1892550.0
Danemark,2015,0.30142185698452867,1713126.0
Danemark,2016,0.31591163423248214,1809545.0
Danemark,2017,0.3090947410051726,1781925.0
Danemark,2018,0.28973049048990995,1678593.0
Danemark,2019,0.27164763754677596,1579474.0
Danemark,2020,0.23761361757820243,1385621.0
Danemark,2021,0.2129055567327382,1246931.0
Danemark,2022,0.2347650878691765,1385827.0
Espagne,2008,0.08553499006160625,3930684.0
Espagne,2009,0.08372731534359357,3881845.0
Espagne,2010,0.07386185473025393,3440256.0
Espagne,2011,0.07169682570947929,3351303.0
Espagne,2012,0.0788122135703986,3686288.0
Espagne,2013,0.07683688422008172,3582139.0
Espagne,2014,0.07163695817992438,3329749.0
Espagne,2015,0.07416874712777516,3444755.0
Espagne,2016,0.07700045662962932,3579294.0
Espagne,2017,0.07596527530305043,3539468.0
Espagne,2018,0.07969754274959436,3729666.0
Espagne,2019,0.08091140741613258,3813746.0
Espagne,2020,0.06458502473997245,3059112.0
Espagne,2021,0.06923720395782047,3282937.0
Espagne,2022,0.08364486920223684,3996413.0
Estonie,2008,0.13234785990471845,176961.0
Estonie,2009,0.11816952226089628,157699.0
Estonie,2010,0.11293715616139995,150373.0
Estonie,2011,0.09935447127890623,131887.0
Estonie,2012,0.09816314557540054,129840.0
Estonie,2013,0.08896226622670612,117252.0
Estonie,2014,0.08306676454590751,109195.0
Estonie,2015,0.07278963849211689,95748.0
Estonie,2016,0.06975125209949916,91778.0
Estonie,2017,0.06490438626854433,85504.0
Estonie,2018,0.057929147027520146,76581.0
Estonie,2019,0.052986740503037914,70308.0
Estonie,2020,0.050224065491206615,66774.0
