Country,Year,Indice de criminalité,Latitude,Longitude
Estonie,2015-01-01T00:00:00,12.404961375938244,58.6741361414,25.5276159945
Estonie,2014-01-01T00:00:00,16.043996605830237,58.6741361414,25.5276159945
Estonie,2013-01-01T00:00:00,16.84135306408339,58.6741361414,25.5276159945
Estonie,2012-01-01T00:00:00,19.161786702763287,58.6741361414,25.5276159945
Estonie,2011-01-01T00:00:00,20.37173853370665,58.6741361414,25.5276159945
Estonie,2010-01-01T00:00:00,24.71660057456122,58.6741361414,25.5276159945
Estonie,2009-01-01T00:00:00,24.61202784183062,58.6741361414,25.5276159945
Estonie,2008-01-01T00:00:00,24.292379975013965,58.6741361414,25.5276159945
Finlande,2022-01-01T00:00:00,37.23108732360171,64.500422299,26.2663706977
Finlande,2021-01-01T00:00:00,36.69069906015644,64.500422299,26.2663706977
Finlande,2020-01-01T00:00:00,38.87152250327716,64.500422299,26.2663706977
Finlande,2019-01-01T00:00:00,35.27049371262731,64.500422299,26.2663706977
Finlande,2018-01-01T00:00:00,33.7923419705508,64.500422299,26.2663706977
Finlande,2017-01-01T00:00:00,33.88864064418245,64.500422299,26.2663706977
Finlande,2016-01-01T00:00:00,36.34789807954837,64.500422299,26.2663706977
Finlande,2015-01-01T00:00:00,32.87392887813052,64.500422299,26.2663706977
Finlande,2014-01-01T00:00:00,34.24023266522438,64.500422299,26.2663706977
Finlande,2013-01-01T00:00:00,33.97206682970405,64.500422299,26.2663706977
Finlande,2012-01-01T00:00:00,36.18476254104932,64.500422299,26.2663706977
Finlande,2011-01-01T00:00:00,40.07665893017714,64.500422299,26.2663706977
Finlande,2010-01-01T00:00:00,38.65572460356789,64.500422299,26.2663706977
Finlande,2009-01-01T00:00:00,39.93471354588035,64.500422299,26.2663706977
Finlande,2008-01-01T00:00:00,40.29301579792717,64.500422299,26.2663706977
France,2022-01-01T00:00:00,44.30086968906134,46.564502139,2.55195527587
France,2021-01-01T00:00:00,40.49379003478081,46.564502139,2.55195527587
France,2020-01-01T00:00:00,37.88583296012624,46.564502139,2.55195527587
France,2019-01-01T00:00:00,43.45542444765984,46.564502139,2.55195527587
France,2018-01-01T00:00:00,42.15006013844154,46.564502139,2.55195527587
France,2017-01-01T00:00:00,42.293549630929064,46.564502139,2.55195527587
France,2016-01-01T00:00:00,50.85441900451399,46.564502139,2.55195527587
