Country,Crime Type,UN_x,lat_x,lon_x,Year,Value,FIPS,ISO2,ISO3,UN_y,NAME,lat_y,lon_y
Allemagne,Vol par effraction de résidences privées,276.0,51.1065619193,10.3936466271,2015.0,141.734,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Vol qualifié,276.0,51.1065619193,10.3936466271,2015.0,52.019999999999996,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,pots-de-vin,276.0,51.1065619193,10.3936466271,2015.0,5.637142857142857,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Angleterre et Pays de Galles,Actes contre les systèmes informatiques,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Actes illicites impliquant des drogues ou des précurseurs contrôlés,826.0,52.3555,-1.1743,2015.0,51.60454545454545,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Agression sexuelle,826.0,52.3555,-1.1743,2015.0,59.68090909090909,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Attaque grave,826.0,52.3555,-1.1743,2015.0,716.5654545454546,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Blanchiment d'argent,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Corruption,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Enlèvement,826.0,52.3555,-1.1743,2015.0,4.609090909090909,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Exploitation sexuelle,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Fraude,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Homicide intentionnel,826.0,52.3555,-1.1743,2015.0,1.0509090909090908,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Participation à un groupe criminel organisé,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Pédopornographie,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Tentative d'homicide volontaire,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Viol,826.0,52.3555,-1.1743,2015.0,50.121818181818185,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Violence sexuelle,826.0,52.3555,-1.1743,2015.0,135.33636363636364,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Vol,826.0,52.3555,-1.1743,2015.0,2589.6627272727274,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Vol d'un véhicule motorisé ou de pièces de celui-ci,826.0,52.3555,-1.1743,2015.0,177.28181818181818,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Vol par effraction,826.0,52.3555,-1.1743,2015.0,824.4954545454547,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Vol par effraction de résidences privées,826.0,52.3555,-1.1743,2015.0,413.8481818181818,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Vol qualifié,826.0,52.3555,-1.1743,2015.0,118.16399999999999,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,pots-de-vin,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Autriche,Actes contre les systèmes informatiques,40.0,47.5929026313,14.1401917728,2015.0,122.22714285714285,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Actes illicites impliquant des drogues ou des précurseurs contrôlés,40.0,47.5929026313,14.1401917728,2015.0,285.9413333333333,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Agression sexuelle,40.0,47.5929026313,14.1401917728,2015.0,29.058666666666667,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Attaque grave,40.0,47.5929026313,14.1401917728,2015.0,43.316,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Blanchiment d'argent,40.0,47.5929026313,14.1401917728,2015.0,6.941428571428572,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Corruption,40.0,47.5929026313,14.1401917728,2015.0,34.72428571428571,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Enlèvement,40.0,47.5929026313,14.1401917728,2015.0,0.06133333333333334,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Exploitation sexuelle,40.0,47.5929026313,14.1401917728,2015.0,18.1,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Fraude,40.0,47.5929026313,14.1401917728,2015.0,543.0314285714286,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Homicide intentionnel,40.0,47.5929026313,14.1401917728,2015.0,0.7146666666666666,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Participation à un groupe criminel organisé,40.0,47.5929026313,14.1401917728,2015.0,0.97,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Pédopornographie,40.0,47.5929026313,14.1401917728,2015.0,14.898333333333333,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Tentative d'homicide volontaire,40.0,47.5929026313,14.1401917728,2015.0,1.306,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Viol,40.0,47.5929026313,14.1401917728,2015.0,15.768,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Violence sexuelle,40.0,47.5929026313,14.1401917728,2015.0,47.42666666666666,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Vol,40.0,47.5929026313,14.1401917728,2015.0,1551.2846666666667,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Vol d'un véhicule motorisé ou de pièces de celui-ci,40.0,47.5929026313,14.1401917728,2015.0,74.764,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Vol par effraction,40.0,47.5929026313,14.1401917728,2015.0,876.23,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Vol par effraction de résidences privées,40.0,47.5929026313,14.1401917728,2015.0,150.10733333333334,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Autriche,Vol qualifié,40.0,47.5929026313,14.1401917728,2015.0,38.965333333333334,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
